date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:14	1611/1611	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/lightbox.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/lightbox3400.css	(from http://fashionteknology.com/)
00:52:14	20815/20815	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/spimeview.css?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/css/spimeview3400.css	(from http://fashionteknology.com/)
00:52:14	26706/26706	U-----	200	untouched ('OK')	text/css	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/css/static_style.css	/home/boss/websites/Israel/fashionteknology.com/css/static_style.css	(from http://fashionteknology.com/)
00:52:15	55942/55942	U-----	200	untouched ('OK')	application/x-javascript	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/js/xprs_helper.js?v=1.4.1g	/home/boss/websites/Israel/fashionteknology.com/js/xprs_helper3400.js	(from http://fashionteknology.com/)
00:52:17	31000/31000	U-----	200	untouched ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/home/boss/websites/Israel/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://fashionteknology.com/)
00:52:18	92842/92842	U-----	200	untouched ('OK')	application/x-javascript	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/js/all_js.js	/home/boss/websites/Israel/fashionteknology.com/js/all_js.js	(from http://fashionteknology.com/)
00:52:18	7784/7784	U-----	200	untouched ('OK')	application/x-javascript	date:Wed,%2003%20Jan%202018%2014:25:42%20GMT	http://fashionteknology.com/js/lib/touchswipe/jquery.mobile.custom.min.js	/home/boss/websites/Israel/fashionteknology.com/js/lib/touchswipe/jquery.mobile.custom.min.js	(from http://fashionteknology.com/)
00:52:20	85535/85535	U-----	200	untouched ('')	application/javascript	etag:W/%22576a7966-14e1f%22	https://code.jquery.com/jquery-2.x-git.min.js	/home/boss/websites/Israel/code.jquery.com/jquery-2.x-git.min.js	(from http://fashionteknology.com/)
00:52:20	4015/4015	U-----	200	untouched ('OK')	text/css	etag:%22ae0fc9b84c30cada1784022044962394%22	http://cdn-images.mailchimp.com/embedcode/classic-10_7.css	/home/boss/websites/Israel/cdn-images.mailchimp.com/embedcode/classic-10_7.css	(from http://fashionteknology.com/)
00:52:21	142851/142851	U-----	200	untouched ('')	application/javascript	etag:%22e425de3a109a9261a44312af443c2e7a%22	http://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	/home/boss/websites/Israel/s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	(from http://fashionteknology.com/)
